,level_0,index,path,variant,food,sex,other_labels,source,predicted,biting_score,chewing_score,swallow_score
0,118,747,datasets/food_intake_dataset/carrot/gy/1_3.wav,chewing,carrot,male,,food_intake_dataset,biting,0.3904358446598053,0.2676045894622803,0.34195956587791443
1,119,1752,datasets/food_intake_dataset/patato_chips/lh/2_10.wav,chewing,patato_chips,male,,food_intake_dataset,chewing,0.208979994058609,0.7780991792678833,0.012920815497636795
2,120,860,datasets/food_intake_dataset/carrot/lh/1_11.wav,chewing,carrot,male,,food_intake_dataset,chewing,0.33957505226135254,0.5852327346801758,0.07519230991601944
3,121,1012,datasets/food_intake_dataset/cookie/by/2_7.wav,chewing,cookie,male,,food_intake_dataset,chewing,0.13796816766262054,0.8510814905166626,0.010950380004942417
4,122,430,datasets/food_intake_dataset/apple/lh/1_23.wav,chewing,apple,male,,food_intake_dataset,chewing,0.023470409214496613,0.9730163216590881,0.003513326868414879
5,123,1085,datasets/food_intake_dataset/cookie/by/4_34.wav,chewing,cookie,male,,food_intake_dataset,chewing,0.39271286129951477,0.545968770980835,0.06131833419203758
6,124,1386,datasets/food_intake_dataset/cookie/wy/4_16.wav,chewing,cookie,female,,food_intake_dataset,chewing,0.03750453144311905,0.9426857829093933,0.019809657707810402
7,125,257,datasets/food_intake_dataset/apple/by/2_45.wav,chewing,apple,male,,food_intake_dataset,chewing,0.16460125148296356,0.8017553091049194,0.03364349156618118
8,126,2085,datasets/food_intake_dataset/walnut/cy/3_15.wav,chewing,walnut,female,,food_intake_dataset,chewing,0.008447962813079357,0.991508960723877,4.307852577767335e-05
9,127,1470,datasets/food_intake_dataset/patato_chips/by/2_15.wav,chewing,patato_chips,male,,food_intake_dataset,chewing,0.21556341648101807,0.5683456063270569,0.21609100699424744
10,128,485,datasets/food_intake_dataset/apple/lh/3_9.wav,chewing,apple,male,,food_intake_dataset,chewing,0.08444536477327347,0.6215083599090576,0.2940462529659271
11,129,1901,datasets/food_intake_dataset/patato_chips/wy/2_1.wav,chewing,patato_chips,female,,food_intake_dataset,chewing,0.05020293965935707,0.9424682259559631,0.0073288981802761555
12,130,116,datasets/eating_foods_sound/wings/wings_10_28.wav,chewing,wings,na,,eating_sound_collection,biting,0.6366355419158936,0.3086946904659271,0.054669756442308426
13,131,508,datasets/food_intake_dataset/carrot/by/1_6.wav,chewing,carrot,male,,food_intake_dataset,chewing,0.1892392337322235,0.6866664886474609,0.12409433722496033
14,132,1942,datasets/food_intake_dataset/patato_chips/wy/4_8.wav,chewing,patato_chips,female,,food_intake_dataset,chewing,0.09633784741163254,0.8909730911254883,0.012689029797911644
15,133,1891,datasets/food_intake_dataset/patato_chips/wy/1_7.wav,chewing,patato_chips,female,,food_intake_dataset,chewing,0.016964787617325783,0.9819627404212952,0.0010725000174716115
16,134,2136,datasets/food_intake_dataset/walnut/gy/2_9.wav,chewing,walnut,male,,food_intake_dataset,chewing,0.13529141247272491,0.8566569685935974,0.008051607757806778
17,135,194,datasets/food_intake_dataset/apple/by/1_18.wav,chewing,apple,male,,food_intake_dataset,chewing,0.3669513165950775,0.5671412944793701,0.06590750813484192
18,136,1647,datasets/food_intake_dataset/patato_chips/cy/1_17.wav,chewing,patato_chips,female,,food_intake_dataset,chewing,0.012399233877658844,0.9869438409805298,0.0006569856195710599
19,137,2364,datasets/food_intake_dataset/water/by/3_2.wav,chewing,water,male,,food_intake_dataset,swallow,0.038708917796611786,0.05914200842380524,0.9021490812301636
20,138,792,datasets/food_intake_dataset/carrot/gy/1_48.wav,chewing,carrot,male,,food_intake_dataset,chewing,0.15251442790031433,0.8282126188278198,0.0192729439586401
21,139,1875,datasets/food_intake_dataset/patato_chips/lh/4_35.wav,chewing,patato_chips,male,,food_intake_dataset,chewing,0.33615124225616455,0.535575807094574,0.1282729059457779
22,140,1043,datasets/food_intake_dataset/cookie/by/3_14.wav,chewing,cookie,male,,food_intake_dataset,chewing,0.22974692285060883,0.7446516156196594,0.025601401925086975
23,141,2081,datasets/food_intake_dataset/walnut/cy/3_10.wav,chewing,walnut,female,,food_intake_dataset,chewing,0.2112271934747696,0.7759385704994202,0.012834208086133003
24,142,1481,datasets/food_intake_dataset/patato_chips/by/2_26.wav,chewing,patato_chips,male,,food_intake_dataset,chewing,0.1922873705625534,0.7637431025505066,0.04396954923868179
25,143,11,datasets/eating_foods_sound/burger/burger_4_34.wav,chewing,burger,na,,eating_sound_collection,biting,0.7456989288330078,0.1862255185842514,0.06807557493448257
26,144,410,datasets/food_intake_dataset/apple/lh/1_3.wav,chewing,apple,male,,food_intake_dataset,biting,0.664056122303009,0.24010631442070007,0.09583757817745209
27,145,1143,datasets/food_intake_dataset/cookie/cy/3_7.wav,chewing,cookie,female,,food_intake_dataset,chewing,0.03413941338658333,0.9629877805709839,0.0028728083707392216
28,146,645,datasets/food_intake_dataset/carrot/cy/1_12.wav,chewing,carrot,female,,food_intake_dataset,chewing,0.3004681169986725,0.6862112879753113,0.0133205596357584
29,118,2140,datasets/food_intake_dataset/walnut/gy/2_13.wav,swallow,walnut,male,,food_intake_dataset,swallow,0.2819257974624634,0.15906387567520142,0.5590102672576904
30,119,715,datasets/food_intake_dataset/carrot/cy/2_46.wav,swallow,carrot,female,,food_intake_dataset,swallow,0.243554025888443,0.11751045286655426,0.6389354467391968
31,120,212,datasets/food_intake_dataset/apple/by/1_36.wav,swallow,apple,male,,food_intake_dataset,swallow,0.006431671790778637,0.0030177889857441187,0.9905505180358887
32,121,2277,datasets/food_intake_dataset/walnut/lh/2_14.wav,swallow,walnut,male,,food_intake_dataset,swallow,0.11022216081619263,0.05045336112380028,0.839324414730072
33,122,2295,datasets/food_intake_dataset/walnut/lh/2_32.wav,swallow,walnut,male,,food_intake_dataset,swallow,0.02204161137342453,0.08677627146244049,0.8911821246147156
34,123,66,datasets/eating_foods_sound/fries/fries_9_22.wav,swallow,fries,na,chewing,eating_sound_collection,biting,0.8682003021240234,0.04869328439235687,0.08310636878013611
35,124,805,datasets/food_intake_dataset/carrot/gy/2_8.wav,swallow,carrot,male,,food_intake_dataset,swallow,0.10711660981178284,0.06836336851119995,0.8245201110839844
36,125,2168,datasets/food_intake_dataset/walnut/gy/3_24.wav,swallow,walnut,male,,food_intake_dataset,swallow,0.17467764019966125,0.07036849111318588,0.7549538612365723
37,126,721,datasets/food_intake_dataset/carrot/cy/2_50.wav,swallow,carrot,female,,food_intake_dataset,biting,0.564872145652771,0.23102502524852753,0.20410287380218506
38,127,894,datasets/food_intake_dataset/carrot/lh/2_13.wav,swallow,carrot,male,,food_intake_dataset,chewing,0.12126316875219345,0.8583555221557617,0.020381245762109756
39,128,2361,datasets/food_intake_dataset/water/by/2_25.wav,swallow,water,male,,food_intake_dataset,biting,0.9898865222930908,0.005344749893993139,0.004768775776028633
40,129,1015,datasets/food_intake_dataset/cookie/by/2_10.wav,swallow,cookie,male,,food_intake_dataset,biting,0.8639888763427734,0.05018312856554985,0.08582796156406403
41,130,2134,datasets/food_intake_dataset/walnut/gy/2_7.wav,swallow,walnut,male,,food_intake_dataset,swallow,0.028363555669784546,0.289162814617157,0.6824735999107361
42,131,133,datasets/manual/s8WxySamgys_325-326.wav,swallow,plum,female,,youtube_video,swallow,0.4230140447616577,0.11424177139997482,0.46274417638778687
