path,variant,food,sex,other_labels,source
datasets/food_intake_dataset/apple/by/1_1.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_2.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_3.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_4.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_5.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_6.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_7.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_8.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_9.wav,swallow,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_10.wav,biting,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_11.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_12.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_13.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_14.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_15.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_16.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_17.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_18.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_19.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_20.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_21.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_22.wav,swallow,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_23.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_24.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_25.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_26.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_27.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_28.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_29.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_30.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_31.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_32.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_33.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_34.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_35.wav,chewing,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/1_36.wav,swallow,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/2_1.wav,biting,apple,male,,food_intake_dataset
datasets/food_intake_dataset/apple/by/2_2.wav,chewing,apple,male,,food_intake_dataset
